                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2439,                 4.1831,                0.89526,                0.00213,                0.12581,                0.00205,                0.00069,                0.94012,                   4.14,                0.77696,              0.0001375,              0.0001375,              0.0001375
                      2,                0.99486,                 2.8253,                0.81758,                0.00015,                0.00417,                  8e-05,                  5e-05,                0.91002,                 4.0655,                0.76833,             0.00028722,             0.00028722,             0.00028722
                      3,                0.90485,                 1.5017,                0.80993,                0.00084,                0.02917,                0.00081,                0.00052,                0.81809,                 3.8719,                0.76337,             0.00043663,             0.00043663,             0.00043663
                      4,                0.81296,                 1.0214,                0.80847,                0.00092,                0.02813,                0.00064,                0.00048,                0.76385,                 3.5574,                0.76353,             0.00058576,             0.00058576,             0.00058576
                      5,                0.81943,                0.91414,                0.80334,                0.00922,                0.39167,                0.15726,                0.12382,                 0.7985,                 3.3528,                0.77299,             0.00073458,             0.00073458,             0.00073458
                      6,                0.77694,                0.82274,                0.81101,                0.03096,                0.72199,                0.68614,                0.50972,                0.90241,                 2.8154,                 0.7859,             0.00088311,             0.00088311,             0.00088311
                      7,                0.80153,                 0.7796,                0.81079,                0.97949,                0.46802,                0.72828,                0.59935,                0.68455,                 2.4819,                0.77224,              0.0010313,              0.0010313,              0.0010313
                      8,                0.76246,                0.77456,                0.80279,                 0.9823,                0.20507,                0.72844,                 0.5986,                0.71353,                 2.2246,                0.77231,              0.0011793,              0.0011793,              0.0011793
                      9,                0.95888,                0.77451,                0.81548,                0.97669,                 0.6909,                0.72589,                 0.5574,                0.88759,                 1.5747,                0.79448,              0.0012401,              0.0012401,              0.0012401
                     10,                0.91238,                0.76978,                0.81365,                0.94942,                0.71796,                0.72576,                0.62197,                0.64627,                  1.356,                0.77384,              0.0012389,              0.0012389,              0.0012389
                     11,                0.76864,                0.72755,                0.79926,                 0.9546,                0.71952,                0.72732,                 0.6358,                0.61362,                 1.1333,                0.77207,              0.0012376,              0.0012376,              0.0012376
                     12,                0.76755,                0.70633,                0.80298,                0.97377,                0.70845,                0.72776,                0.60794,                0.74608,                0.72576,                0.78008,              0.0012364,              0.0012364,              0.0012364
                     13,                0.72973,                0.64981,                0.79718,                   0.95,                0.73888,                0.72909,                0.61293,                0.70379,                0.70431,                0.77551,              0.0012351,              0.0012351,              0.0012351
                     14,                0.67555,                0.63512,                0.80389,                0.96033,                0.72542,                0.72849,                 0.6214,                0.66096,                 0.7106,                0.76929,              0.0012339,              0.0012339,              0.0012339
                     15,                0.68786,                0.63961,                0.79784,                0.95343,                0.73898,                0.72808,                0.63184,                0.57893,                0.60437,                0.76351,              0.0012327,              0.0012327,              0.0012327
                     16,                0.63187,                0.59657,                0.78867,                0.95563,                0.73376,                0.72915,                 0.6486,                0.52031,                 0.5582,                0.75771,              0.0012314,              0.0012314,              0.0012314
                     17,                0.64736,                0.59066,                0.79066,                0.97521,                 0.7143,                0.72925,                0.65353,                0.52889,                0.53661,                0.76119,              0.0012302,              0.0012302,              0.0012302
                     18,                0.62437,                0.56059,                0.79357,                0.95499,                0.73949,                0.72992,                0.64343,                0.55417,                0.50732,                0.75844,               0.001229,               0.001229,               0.001229
                     19,                0.59821,                0.54552,                0.78588,                0.95157,                0.73918,                0.72829,                0.64413,                0.57638,                0.51317,                0.76056,              0.0012277,              0.0012277,              0.0012277
                     20,                0.60286,                0.53302,                0.79106,                0.95185,                0.72848,                0.72673,                0.63649,                0.58359,                0.49836,                0.75998,              0.0012265,              0.0012265,              0.0012265
                     21,                0.62875,                0.53598,                0.79416,                0.94717,                0.73137,                0.72273,                 0.6365,                0.52106,                0.48649,                0.75667,              0.0012252,              0.0012252,              0.0012252
                     22,                 0.6302,                0.54001,                0.79248,                0.94428,                0.73863,                0.72214,                0.63619,                0.57262,                0.50522,                0.76005,               0.001224,               0.001224,               0.001224
                     23,                0.64181,                 0.5397,                0.79473,                0.95325,                0.73779,                0.72509,                0.59892,                0.73543,                0.54015,                0.76548,              0.0012228,              0.0012228,              0.0012228
                     24,                0.66965,                0.52999,                0.79584,                0.97276,                0.71366,                0.72756,                0.64243,                0.57802,                0.50729,                0.75542,              0.0012215,              0.0012215,              0.0012215
                     25,                0.62222,                0.50415,                0.79411,                0.95278,                0.73914,                0.73161,                0.66042,                0.46956,                0.47812,                0.74983,              0.0012203,              0.0012203,              0.0012203
                     26,                0.58264,                0.49879,                0.78481,                0.95531,                0.73901,                0.73195,                0.65853,                0.46141,                0.45387,                0.75127,              0.0012191,              0.0012191,              0.0012191
                     27,                0.57076,                0.47963,                0.79048,                0.95482,                 0.7404,                0.73143,                0.65649,                0.52812,                0.47428,                0.75161,              0.0012178,              0.0012178,              0.0012178
                     28,                0.58201,                0.48419,                0.78141,                0.96643,                0.72408,                0.72927,                0.62961,                0.62633,                0.54153,                0.75843,              0.0012166,              0.0012166,              0.0012166
                     29,                0.58855,                0.50145,                0.78782,                0.97632,                0.72248,                 0.7269,                 0.6271,                0.58544,                 0.4903,                0.75714,              0.0012154,              0.0012154,              0.0012154
                     30,                0.55395,                0.48594,                 0.7935,                0.96093,                0.73078,                0.72841,                0.66813,                0.43624,                0.47019,                 0.7487,              0.0012141,              0.0012141,              0.0012141
                     31,                0.57171,                0.49069,                0.78725,                0.94905,                0.73574,                0.73137,                0.66633,                0.45712,                0.47546,                0.74998,              0.0012129,              0.0012129,              0.0012129
                     32,                0.58451,                0.47972,                0.78768,                0.95853,                0.73788,                0.72737,                0.65679,                0.48415,                0.46357,                0.75007,              0.0012116,              0.0012116,              0.0012116
                     33,                0.61291,                 0.4949,                0.78834,                 0.9575,                0.73646,                0.72978,                0.65344,                0.47494,                0.48825,                0.75367,              0.0012104,              0.0012104,              0.0012104
                     34,                0.65392,                0.49432,                 0.7937,                0.95603,                0.73634,                0.72523,                0.65995,                0.45163,                0.46208,                0.75076,              0.0012092,              0.0012092,              0.0012092
                     35,                0.65177,                0.48351,                 0.7887,                0.96039,                0.71898,                0.72358,                0.61585,                0.71282,                0.54271,                0.76603,              0.0012079,              0.0012079,              0.0012079
                     36,                0.62638,                0.47291,                0.78394,                0.97113,                0.72717,                0.72651,                0.65088,                0.56082,                0.50225,                0.75423,              0.0012067,              0.0012067,              0.0012067
                     37,                 0.5824,                0.45435,                0.78738,                0.97007,                0.72512,                0.72853,                0.65824,                0.48742,                0.46959,                0.75449,              0.0012055,              0.0012055,              0.0012055
                     38,                0.57795,                0.44319,                0.78312,                0.97528,                0.72371,                0.72786,                0.66662,                0.43094,                0.44186,                0.74838,              0.0012042,              0.0012042,              0.0012042
                     39,                0.61607,                0.44884,                0.78515,                0.72308,                 0.7306,                0.72816,                0.62394,                0.59757,                0.46789,                0.75579,               0.001203,               0.001203,               0.001203
                     40,                0.59237,                 0.4383,                0.78162,                0.96846,                0.73177,                0.72772,                0.64496,                0.55165,                0.46466,                0.75378,              0.0012017,              0.0012017,              0.0012017
                     41,                0.59135,                0.42429,                0.78737,                 0.9626,                0.72987,                0.72244,                0.64306,                0.53861,                  0.447,                0.75578,              0.0012005,              0.0012005,              0.0012005
                     42,                0.57705,                0.43547,                0.78816,                0.96658,                0.73261,                0.73085,                0.65715,                0.50293,                0.46906,                0.75002,              0.0011993,              0.0011993,              0.0011993
                     43,                0.57525,                0.44089,                0.78381,                0.95923,                0.73363,                0.72937,                0.66925,                0.42944,                0.45158,                0.74562,               0.001198,               0.001198,               0.001198
                     44,                0.54642,                0.42435,                0.78659,                0.94669,                0.74017,                0.72882,                0.67426,                0.42355,                0.43841,                0.74789,              0.0011968,              0.0011968,              0.0011968
                     45,                0.57134,                0.42795,                0.78583,                0.97756,                0.72723,                0.73216,                   0.67,                0.43735,                0.43856,                0.74846,              0.0011955,              0.0011955,              0.0011955
                     46,                0.55356,                0.41904,                0.78805,                0.94984,                0.72943,                0.72649,                0.67064,                0.44808,                0.43427,                0.74677,              0.0011943,              0.0011943,              0.0011943
                     47,                0.53941,                0.41304,                0.78098,                0.94976,                 0.7375,                0.76638,                0.69434,                0.46275,                0.45384,                0.74966,              0.0011931,              0.0011931,              0.0011931
