                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  6.894,                 57.354,                 5.3191,                      0,                      0,                      0,                      0,                 5.9059,                  46.75,                 3.4257,              0.0001375,              0.0001375,              0.0001375
                      2,                 6.4837,                 34.789,                 4.0666,                      0,                      0,                      0,                      0,                 5.6626,                 46.562,                 3.3008,             0.00028722,             0.00028722,             0.00028722
                      3,                 5.2301,                 10.737,                 2.9059,                      0,                      0,                      0,                      0,                 5.1008,                 46.281,                 3.0062,             0.00043663,             0.00043663,             0.00043663
                      4,                 3.8115,                  4.232,                 2.0501,                      0,                      0,                      0,                      0,                 4.3297,                 45.875,                 2.5945,             0.00058576,             0.00058576,             0.00058576
                      5,                 2.8763,                 2.6389,                 1.5489,                      0,                      0,                      0,                      0,                 3.4321,                 20.578,                 2.0968,             0.00073458,             0.00073458,             0.00073458
                      6,                 2.5005,                 2.0333,                 1.4144,                      0,                      0,                      0,                      0,                 2.6987,                 18.609,                 1.6798,             0.00088311,             0.00088311,             0.00088311
                      7,                 2.3762,                 1.8106,                 1.3242,                      0,                      0,                      0,                      0,                 4.8819,                 37.844,                 2.3283,              0.0010313,              0.0010313,              0.0010313
                      8,                 2.0401,                 1.5446,                 1.1592,                0.01884,                0.44063,                0.18517,                0.06031,                  2.492,                 2.7106,                 1.3903,              0.0011793,              0.0011793,              0.0011793
                      9,                 2.0055,                 1.5005,                 1.1256,                0.86764,                0.34479,                0.38122,                 0.1277,                 2.1348,                 1.5695,                  1.168,              0.0012401,              0.0012401,              0.0012401
                     10,                 1.8782,                 1.3954,                 1.0666,                0.74204,                0.51695,                0.62093,                0.23774,                  1.926,                 1.4938,                 1.1991,              0.0012389,              0.0012389,              0.0012389
                     11,                 1.7646,                 1.3034,                 1.0304,                0.91214,                0.62969,                0.68868,                0.36176,                 1.6456,                 1.2473,                 1.1253,              0.0012376,              0.0012376,              0.0012376
                     12,                 1.7053,                 1.2491,                 1.0253,                0.82669,                0.58342,                0.62303,                0.27136,                 2.0977,                 1.3576,                 1.1321,              0.0012364,              0.0012364,              0.0012364
                     13,                 1.6462,                 1.1195,                 1.0146,                0.77372,                0.57594,                0.64618,                0.35359,                 1.6539,                 1.4289,                 1.0263,              0.0012351,              0.0012351,              0.0012351
                     14,                 1.5369,                 1.1509,                0.98629,                0.84661,                0.51585,                0.62457,                0.26921,                 2.1434,                 1.4357,                 1.0774,              0.0012339,              0.0012339,              0.0012339
                     15,                 1.5907,                 1.1183,                0.99812,                0.93105,                 0.6545,                0.70351,                0.37586,                   1.76,                 1.1541,                 1.0193,              0.0012327,              0.0012327,              0.0012327
                     16,                 1.4787,                 1.0334,                0.97199,                0.91912,                0.67925,                0.71588,                0.47777,                 1.2684,                0.98599,                0.93985,              0.0012314,              0.0012314,              0.0012314
                     17,                 1.4901,                 1.0213,                0.96238,                0.95011,                0.67134,                 0.7194,                0.42893,                 1.5618,                0.98453,                0.95717,              0.0012302,              0.0012302,              0.0012302
                     18,                 1.3799,                0.95941,                0.94799,                0.91973,                0.65675,                0.71249,                0.48701,                 1.2054,                0.98141,                0.91383,               0.001229,               0.001229,               0.001229
                     19,                 1.3447,                0.97011,                0.94279,                0.92966,                0.68731,                0.71646,                0.47384,                 1.2959,                 0.9333,                0.92347,              0.0012277,              0.0012277,              0.0012277
                     20,                  1.267,                 0.9237,                0.94436,                0.94002,                 0.7006,                 0.7247,                0.52705,                 1.0548,                0.85454,                0.88627,              0.0012265,              0.0012265,              0.0012265
                     21,                 1.3304,                0.93174,                0.94308,                0.94757,                 0.6961,                0.71755,                0.50383,                 1.0804,                 1.0057,                0.92579,              0.0012252,              0.0012252,              0.0012252
                     22,                  1.273,                0.91331,                0.92235,                0.93408,                0.70206,                0.72329,                0.54666,                 0.9597,                0.79444,                0.87249,               0.001224,               0.001224,               0.001224
